id,hpMax,hpMaxExtra,hpMaxPercent,globalHpMaxPercent,phyAtk,phyAtkExtra,phyAtkPercent,globalPhyAtkPercent,phyDfs,phyDfsExtra,phyDfsPercent,globalPhyDfsPercent,magAtk,magAtkExtra,magAtkPercent,globalMagAtkPercent,magDfs,magDfsExtra,magDfsPercent,globalMagDfsPercent,critAtkRatio,critDfsRatio,critAtkValue,critDfsValue,hitRateValue,evadeValue,normalAtkUp,normalDfsUp,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,skillPhyAtkUp,skillPhyDfsUp,skillMagAtkUp,skillMagDfsUp,cureUp,cureDown,healUp
11530032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
11530033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
11530111,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11530112,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11530113,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11530121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
11530122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
11530123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
11530131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11530132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11530133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11530211,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11530212,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11530213,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11530221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11530222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11530223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11530231,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11530232,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11530233,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11540011,,,100,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11540012,,,150,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11540013,,,200,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11540014,,,250,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11540015,,,300,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11540021,,,,,,,,,,,,,,,100,,,,,,,,,300,,,,,,,,,,,,,,,
11540022,,,,,,,,,,,,,,,150,,,,,,,,,350,,,,,,,,,,,,,,,
11540023,,,,,,,,,,,,,,,200,,,,,,,,,400,,,,,,,,,,,,,,,
11540024,,,,,,,,,,,,,,,250,,,,,,,,,450,,,,,,,,,,,,,,,
11540025,,,,,,,,,,,,,,,300,,,,,,,,,500,,,,,,,,,,,,,,,
11540031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11540032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11540033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11540034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11540035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11540111,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,100,,,
11540112,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,150,,,
11540113,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,200,,,
11540114,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,250,,,
11540115,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,300,,,
11540121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,
11540122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,150,,,
11540123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,
11540124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,250,,,
11540125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,,,
11540131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,100,,,,
11540132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,150,,,,
11540133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,200,,,,
11540134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,250,,,,
11540135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,300,,,,
11540211,,,,,,,,,,,,,,,100,,,,,,300,,,,,,,,,,,,,,,,,,
11540212,,,,,,,,,,,,,,,150,,,,,,350,,,,,,,,,,,,,,,,,,
11540213,,,,,,,,,,,,,,,200,,,,,,400,,,,,,,,,,,,,,,,,,
11540214,,,,,,,,,,,,,,,250,,,,,,450,,,,,,,,,,,,,,,,,,
11540215,,,,,,,,,,,,,,,300,,,,,,500,,,,,,,,,,,,,,,,,,
11540221,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
11540222,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
11540223,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
11540224,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,
11540225,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,
11540231,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,
11540232,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,150,,,,
11540233,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,200,,,,
11540234,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,250,,,,
11540235,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,300,,,,
11630011,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
11630012,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,
11630013,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
11630021,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630022,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630023,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
11630032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
11630033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
11630111,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630112,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630113,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630121,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11630122,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11630123,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11630131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11630132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11630133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11630211,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630212,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630213,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630221,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11630222,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11630223,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11630232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11630233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11640011,,,,,,,,,,,,,,,100,,,,,,,300,,,,,,,,,,,,,,,,,
11640012,,,,,,,,,,,,,,,150,,,,,,,350,,,,,,,,,,,,,,,,,
11640013,,,,,,,,,,,,,,,200,,,,,,,400,,,,,,,,,,,,,,,,,
11640014,,,,,,,,,,,,,,,250,,,,,,,450,,,,,,,,,,,,,,,,,
11640015,,,,,,,,,,,,,,,300,,,,,,,500,,,,,,,,,,,,,,,,,
11640021,,,,,,,,,,,100,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11640022,,,,,,,,,,,150,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11640023,,,,,,,,,,,200,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11640024,,,,,,,,,,,250,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
11640025,,,,,,,,,,,300,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
11640031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11640032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11640033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11640034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11640035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11640111,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640112,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640113,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640114,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640115,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640121,,,100,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,
11640122,,,150,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,
11640123,,,200,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,
11640124,,,250,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,
11640125,,,300,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,
11640131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,100,,,,
11640132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,150,,,,
11640133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,200,,,,
11640134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,250,,,,
11640135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,300,,,,
11640211,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,300
11640212,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,350
11640213,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,400
11640214,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,450
11640215,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,500
11640221,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
11640222,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350
11640223,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
11640224,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450
11640225,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
11640231,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11640232,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11640233,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11640234,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,
11640235,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,
1,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,
13011,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13012,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13013,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13014,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13015,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13016,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13021,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13022,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13023,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13024,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13025,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13026,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
13036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14011,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14012,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14013,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14014,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14015,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14016,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,250,0,0,0
14022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,300,0,0,0
14023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,350,0,0,0
14024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,400,0,0,0
14025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,450,0,0,0
14026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,500,0,0,0
14031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,250,0,0,0,0,0
14032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,300,0,0,0,0,0
14033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,350,0,0,0,0,0
14034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,400,0,0,0,0,0
14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,450,0,0,0,0,0
14036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,500,0,0,0,0,0
14111,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14112,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14113,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14114,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14115,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14116,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14121,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,,0,0,0,0,0,0,0
14122,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,,,,,0,0,0,0,0,0,0
14123,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,,,,,0,0,0,0,0,0,0
14124,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,,,,,0,0,0,0,0,0,0
14125,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,,,,,0,0,0,0,0,0,0
14126,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,,,,,0,0,0,0,0,0,0
14131,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14132,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14133,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14134,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14135,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14136,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14211,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14212,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14213,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14214,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14215,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14216,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
14231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,750,0,0
14232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,900,0,0
14233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1050,0,0
14234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1200,0,0
14235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1350,0,0
14236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1500,0,0
23011,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23012,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23013,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23014,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23015,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23016,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23021,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23022,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23023,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23024,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23025,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23026,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23031,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23032,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23033,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23034,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23035,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
23036,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24011,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24012,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24013,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24014,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24015,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24016,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
24021,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
